----- Generation 50 -----
Average fitness: 0.8293380737304688
Best: Fitness: 0.87146 | Architecture: {"nb_weights": [32], "batch_size": 32, "activation": "hard_sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.17}
Top 1632:
Fitness: 0.87146 | Gen: 37 | Architecture: {"nb_weights": [32], "batch_size": 32, "activation": "hard_sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.17}
Fitness: 0.87122 | Gen: 26 | Architecture: {"nb_weights": [8, 2, 16], "batch_size": 32, "activation": "sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.13}
Fitness: 0.87097 | Gen: 49 | Architecture: {"nb_weights": [32, 16], "batch_size": 32, "activation": "hard_sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.17}
Fitness: 0.87085 | Gen: 21 | Architecture: {"nb_weights": [1, 8], "batch_size": 32, "activation": "relu", "optimizer": "rmsprop", "dropout_rate": 0.18}
Fitness: 0.87073 | Gen: 34 | Architecture: {"nb_weights": [16, 2, 8, 2, 2], "batch_size": 32, "activation": "sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.13}
Fitness: 0.87073 | Gen: 42 | Architecture: {"nb_weights": [8], "batch_size": 32, "activation": "hard_sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.16}
Fitness: 0.87061 | Gen: 32 | Architecture: {"nb_weights": [2, 16, 2], "batch_size": 32, "activation": "hard_sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.13}
Fitness: 0.87048 | Gen: 42 | Architecture: {"nb_weights": [4], "batch_size": 32, "activation": "sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.17}
Fitness: 0.87048 | Gen: 42 | Architecture: {"nb_weights": [2, 16], "batch_size": 32, "activation": "sigmoid", "optimizer": "rmsprop", "dropout_rate": 0.13}
Fitness: 0.87036 | Gen: 6 | Architecture: {"nb_weights": [2, 2], "batch_size": 64, "activation": "relu", "optimizer": "rmsprop", "dropout_rate": 0.18}
Fitness: 0.87036 | Gen: 33 | Architecture: {"nb_weights": [8, 8], "batch_size": 64, "activation": "linear", "optimizer": "rmsprop", "dropout_rate": 0.13}
